underlying,run_id,track,dir,days,n_legs,pnl_parity,pnl_native
SOL_USDC,SOL_USDC-0105,opt_delta,1,34,1,29286.221853628744,29000.433334658755
SOL_USDC,SOL_USDC-0105,opt_budget,1,34,1,12417.308977422908,12296.135124402907
SOL_USDC,SOL_USDC-0106,opt_delta,-1,4,1,-35236.45654461016,-35590.30169918016
SOL_USDC,SOL_USDC-0106,opt_budget,-1,4,1,-20974.174952075526,-21184.798008605525
SOL_USDC,SOL_USDC-0107,opt_delta,1,7,1,-40267.83615776002,-40522.519581480024
SOL_USDC,SOL_USDC-0107,opt_budget,1,7,1,-23845.51210642244,-23996.32866975244
SOL_USDC,SOL_USDC-0108,opt_delta,-1,84,0,0.0,0.0
SOL_USDC,SOL_USDC-0108,opt_budget,-1,84,0,0.0,0.0
SOL_USDC,SOL_USDC-0109,opt_delta,1,13,1,-41193.161641771025,-41477.962524781025
SOL_USDC,SOL_USDC-0109,opt_budget,1,13,1,-34028.13196462505,-34263.39533468505
SOL_USDC,SOL_USDC-0110,opt_delta,-1,41,2,353533.3233695818,353335.70435606176
SOL_USDC,SOL_USDC-0110,opt_budget,-1,41,2,262065.15033112015,261907.74553936016
SOL_USDC,SOL_USDC-0111,opt_delta,-1,8,1,-14191.734726085428,-14476.314518675425
SOL_USDC,SOL_USDC-0111,opt_budget,-1,8,1,-7560.134721544609,-7711.734340084609
SOL_USDC,SOL_USDC-0112,opt_delta,-1,2,1,-46246.11127878602,-46648.07665180602
SOL_USDC,SOL_USDC-0112,opt_budget,-1,2,1,-22798.58052324969,-22996.74291292969
SOL_USDC,SOL_USDC-0113,opt_delta,1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0113,opt_budget,1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0114,opt_delta,-1,2,1,1429.0558842733597,1125.636566983362
SOL_USDC,SOL_USDC-0114,opt_budget,-1,2,1,700.119850492838,551.4693397628345
SOL_USDC,SOL_USDC-0115,opt_delta,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0115,opt_budget,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0116,opt_delta,1,2,1,-39704.34312336839,-39938.43042587839
SOL_USDC,SOL_USDC-0116,opt_budget,1,2,1,-23293.920569212034,-23431.255948722035
SOL_USDC,SOL_USDC-0117,opt_delta,-1,15,1,-51149.789710272315,-51571.48939536232
SOL_USDC,SOL_USDC-0117,opt_budget,-1,15,1,-32750.222833797074,-33020.22900065707
SOL_USDC,SOL_USDC-0118,opt_delta,-1,2,0,0.0,0.0
SOL_USDC,SOL_USDC-0118,opt_budget,-1,2,0,0.0,0.0
SOL_USDC,SOL_USDC-0119,opt_delta,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0119,opt_budget,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0120,opt_delta,1,10,1,-19080.371954189897,-19360.711279409894
SOL_USDC,SOL_USDC-0120,opt_budget,1,10,1,-12765.836650486994,-12953.399347956993
SOL_USDC,SOL_USDC-0121,opt_delta,-1,6,1,-27822.758979030143,-28151.42511291014
SOL_USDC,SOL_USDC-0121,opt_budget,-1,6,1,-22732.02230933161,-23000.55232439161
SOL_USDC,SOL_USDC-0122,opt_delta,1,10,1,-23862.930749830677,-24200.248115700677
SOL_USDC,SOL_USDC-0122,opt_budget,1,10,1,-27979.843783801763,-28375.356275621765
SOL_USDC,SOL_USDC-0123,opt_delta,-1,26,1,91983.4287441986,91684.03146587861
SOL_USDC,SOL_USDC-0123,opt_budget,-1,26,1,66360.54287360853,66144.54564241852
SOL_USDC,SOL_USDC-0124,opt_delta,-1,5,0,0.0,0.0
SOL_USDC,SOL_USDC-0124,opt_budget,-1,5,0,0.0,0.0
SOL_USDC,SOL_USDC-0125,opt_delta,-1,5,0,0.0,0.0
SOL_USDC,SOL_USDC-0125,opt_budget,-1,5,0,0.0,0.0
SOL_USDC,SOL_USDC-0126,opt_delta,-1,1,0,0.0,0.0
SOL_USDC,SOL_USDC-0126,opt_budget,-1,1,0,0.0,0.0
