underlying,run_id,track,dir,spot_pnl,mode_a_pnl,mode_a_legs,mode_b_pnl,mode_b_coverage_skip,mode_a_skip_reason
BTC,BTC-0100,opt_budget,1,-29823.05891108777,-48552.518750877236,1,-48469.44787749833,False,
BTC,BTC-0101,opt_delta,-1,79076.70256418671,144208.22993985756,2,0.0,True,
BTC,BTC-0101,opt_budget,-1,79076.70256418671,99346.31133686985,2,0.0,True,
BTC,BTC-0102,opt_delta,-1,-21028.151099864004,-19178.289061391843,1,-16988.559522622185,False,
BTC,BTC-0102,opt_budget,-1,-21028.151099864004,-17438.086157341655,1,-15447.04867552522,False,
BTC,BTC-0103,opt_delta,1,-27955.159676574956,-27707.10007559852,1,-31236.879776888338,False,
BTC,BTC-0103,opt_budget,1,-27955.159676574956,-24095.340248290326,1,-27164.995415089637,False,
BTC,BTC-0104,opt_delta,-1,-3848.5464388545847,-28800.59458671763,1,-29060.17215708119,False,
BTC,BTC-0104,opt_budget,-1,-3848.5464388545847,-21917.68806305414,1,-22115.23051997333,False,
BTC,BTC-0105,opt_delta,-1,-19767.26996707623,-23004.193871339867,1,-27585.665095397424,False,
BTC,BTC-0105,opt_budget,-1,-19767.26996707623,-23349.358932061514,1,-27999.572569006512,False,
BTC,BTC-0106,opt_delta,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0106,opt_budget,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0107,opt_delta,1,29294.119408085277,15430.722107868729,2,14362.05372152694,False,
BTC,BTC-0107,opt_budget,1,29294.119408085277,17192.467378476133,2,15356.984934916742,False,
BTC,BTC-0108,opt_delta,-1,-2870.5338752081857,-8578.921860184822,1,-7455.962931507429,False,
BTC,BTC-0108,opt_budget,-1,-2870.5338752081857,-10454.976644981409,1,-9086.446943471512,False,
BTC,BTC-0109,opt_delta,-1,105224.41992997247,191392.49394124962,1,191392.4939412496,False,
BTC,BTC-0109,opt_budget,-1,105224.41992997247,242966.00322570253,1,242966.00322570253,False,
SOL_USDC,SOL_USDC-0074,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
SOL_USDC,SOL_USDC-0074,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
SOL_USDC,SOL_USDC-0075,opt_delta,-1,-6511.521332086327,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0075,opt_budget,-1,-6511.521332086327,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0076,opt_delta,-1,-20767.05056821016,-54467.062186225696,1,-52708.83670267099,False,
SOL_USDC,SOL_USDC-0076,opt_budget,-1,-20767.05056821016,-27375.427184143482,1,-26491.733961737045,False,
SOL_USDC,SOL_USDC-0077,opt_delta,1,-34804.04945305889,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0077,opt_budget,1,-34804.04945305889,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0078,opt_delta,-1,17717.21958823941,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0078,opt_budget,-1,17717.21958823941,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0079,opt_delta,-1,-23954.323997302967,-7243.131874319115,1,832.8385647153546,False,
SOL_USDC,SOL_USDC-0079,opt_budget,-1,-23954.323997302967,-4772.657607923413,1,548.7754994705854,False,
SOL_USDC,SOL_USDC-0080,opt_delta,-1,-80835.67422553108,-59492.19719800292,1,-54333.39619952949,False,
SOL_USDC,SOL_USDC-0080,opt_budget,-1,-80835.67422553108,-36851.325307003004,1,-33655.80282266588,False,
SOL_USDC,SOL_USDC-0081,opt_delta,1,38778.936545051874,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0081,opt_budget,1,38778.936545051874,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0082,opt_delta,-1,-126480.56646958871,-61579.77360824361,1,-44101.72891136416,False,
SOL_USDC,SOL_USDC-0082,opt_budget,-1,-126480.56646958871,-25649.017445227724,1,-18369.116155062566,False,
SOL_USDC,SOL_USDC-0083,opt_delta,-1,-21383.251065265973,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0083,opt_budget,-1,-21383.251065265973,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0084,opt_delta,-1,-10425.151053621354,-43175.94497403337,1,0.0,True,
SOL_USDC,SOL_USDC-0084,opt_budget,-1,-10425.151053621354,-21761.38488643483,1,0.0,True,
SOL_USDC,SOL_USDC-0085,opt_delta,1,-28982.03061751975,-47588.51213084649,1,-50132.5866165795,False,
SOL_USDC,SOL_USDC-0085,opt_budget,1,-28982.03061751975,-27211.89596681964,1,-28666.63970932747,False,
SOL_USDC,SOL_USDC-0086,opt_delta,1,-2664.184870139403,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0086,opt_budget,1,-2664.184870139403,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0087,opt_delta,-1,,0.0,0,0.0,False,insufficient_dates
SOL_USDC,SOL_USDC-0087,opt_budget,-1,,0.0,0,0.0,False,insufficient_dates
