underlying,run_id,track,leg_planner_pnl,nautilus_pnl,n_legs,error
BTC,BTC-0090,opt_budget,27713.997419098232,27713.99739837584,2,
BTC,BTC-0091,opt_delta,-3224.2255517630256,-3224.225568830035,1,
BTC,BTC-0091,opt_budget,-6073.1485780567455,-6073.148608726941,1,
BTC,BTC-0092,opt_delta,0.0,,0,
BTC,BTC-0092,opt_budget,0.0,,0,
BTC,BTC-0093,opt_delta,4756.950622197037,4756.950624650839,1,
BTC,BTC-0093,opt_budget,7501.722597419157,7501.722588427586,1,
BTC,BTC-0094,opt_delta,0.0,,0,
BTC,BTC-0094,opt_budget,0.0,,0,
BTC,BTC-0095,opt_delta,0.0,,0,
BTC,BTC-0095,opt_budget,0.0,,0,
BTC,BTC-0096,opt_delta,-21295.586656240535,-21295.586650565176,1,
BTC,BTC-0096,opt_budget,-31582.549172079336,-31582.54918797641,1,
BTC,BTC-0097,opt_delta,-31167.04011669659,-31167.04010464655,1,
BTC,BTC-0097,opt_budget,-35118.90407870856,-35118.904073979196,1,
BTC,BTC-0098,opt_delta,-28792.013136177728,-28792.013143306285,1,
BTC,BTC-0098,opt_budget,-33868.90108104718,-33868.90108311307,1,
BTC,BTC-0099,opt_delta,98912.11921905956,98912.11921285906,3,
BTC,BTC-0099,opt_budget,79492.5986418585,79492.59862500092,3,
BTC,BTC-0100,opt_delta,-33478.0647993507,-33478.06477913802,1,
BTC,BTC-0100,opt_budget,-48552.518750877236,-48552.51873168223,1,
BTC,BTC-0101,opt_delta,144208.22993985756,144208.22995301423,2,
BTC,BTC-0101,opt_budget,99346.31133686985,99346.31135468448,2,
BTC,BTC-0102,opt_delta,-19178.289061391843,-19178.289059240124,1,
BTC,BTC-0102,opt_budget,-17438.086157341655,-17438.086149051658,1,
BTC,BTC-0103,opt_delta,-27707.10007559852,-27707.10007739768,1,
BTC,BTC-0103,opt_budget,-24095.340248290326,-24095.3402382474,1,
BTC,BTC-0104,opt_delta,-28800.59458671763,-28800.59459652891,1,
BTC,BTC-0104,opt_budget,-21917.68806305414,-21917.6880664152,1,
BTC,BTC-0105,opt_delta,-23004.193871339867,-23004.19386462333,1,
BTC,BTC-0105,opt_budget,-23349.358932061514,-23349.35894063472,1,
BTC,BTC-0106,opt_delta,0.0,,0,
BTC,BTC-0106,opt_budget,0.0,,0,
BTC,BTC-0107,opt_delta,15430.722107868729,15430.722110000235,2,
BTC,BTC-0107,opt_budget,17192.467378476133,17192.467376638335,2,
BTC,BTC-0108,opt_delta,-8578.921860184822,-8578.921849975446,1,
BTC,BTC-0108,opt_budget,-10454.976644981409,-10454.97664709777,1,
BTC,BTC-0109,opt_delta,191392.49394124962,191392.49393667572,1,
BTC,BTC-0109,opt_budget,242966.00322570253,242966.0032276317,1,
SOL_USDC,SOL_USDC-0074,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0074,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0075,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0075,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0076,opt_delta,-54467.062186225696,-54466.94875792414,1,
SOL_USDC,SOL_USDC-0076,opt_budget,-27375.427184143482,-27375.370174507585,1,
SOL_USDC,SOL_USDC-0077,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0077,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0078,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0078,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0079,opt_delta,-7243.131874319115,-7243.865604165569,1,
SOL_USDC,SOL_USDC-0079,opt_budget,-4772.657607923413,-4773.141078531824,1,
SOL_USDC,SOL_USDC-0080,opt_delta,-59492.19719800292,-59492.5682966604,1,
SOL_USDC,SOL_USDC-0080,opt_budget,-36851.325307003004,-36851.55517710017,1,
SOL_USDC,SOL_USDC-0081,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0081,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0082,opt_delta,-61579.77360824361,-61579.52174359865,1,
SOL_USDC,SOL_USDC-0082,opt_budget,-25649.017445227724,-25648.912539358033,1,
SOL_USDC,SOL_USDC-0083,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0083,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0084,opt_delta,-43175.94497403337,-43175.56071792714,1,
SOL_USDC,SOL_USDC-0084,opt_budget,-21761.38488643483,-21761.191215054292,1,
SOL_USDC,SOL_USDC-0085,opt_delta,-47588.51213084649,-47588.832762726284,1,
SOL_USDC,SOL_USDC-0085,opt_budget,-27211.89596681964,-27212.079309438774,1,
SOL_USDC,SOL_USDC-0086,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0086,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0087,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0087,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0088,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0088,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0089,opt_delta,355145.08177418984,355145.45513667056,2,
SOL_USDC,SOL_USDC-0089,opt_budget,283827.8163928974,283828.0321663194,2,
SOL_USDC,SOL_USDC-0090,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0090,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0091,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0091,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0092,opt_delta,-50315.355893264736,-50315.12923059632,1,
SOL_USDC,SOL_USDC-0092,opt_budget,-25909.245190392066,-25909.1284733501,1,
SOL_USDC,SOL_USDC-0093,opt_delta,-32345.54049793067,-32345.647451442772,1,
SOL_USDC,SOL_USDC-0093,opt_budget,-20526.996705931117,-20527.064580324284,1,
SOL_USDC,SOL_USDC-0094,opt_delta,-112898.53037984637,-112898.65434504655,1,
SOL_USDC,SOL_USDC-0094,opt_budget,-43700.19194139052,-43700.23992524198,1,
SOL_USDC,SOL_USDC-0095,opt_delta,116958.74695143319,116958.66393760951,2,
SOL_USDC,SOL_USDC-0095,opt_budget,54560.85442302571,54560.82145385936,2,
SOL_USDC,SOL_USDC-0096,opt_delta,-3027.1090620174946,-3026.7397382387394,1,
SOL_USDC,SOL_USDC-0096,opt_budget,-1723.8622675534716,-1723.651946976337,1,
SOL_USDC,SOL_USDC-0097,opt_delta,18274.563437593664,18274.381346628386,1,
SOL_USDC,SOL_USDC-0097,opt_budget,8310.702390172599,8310.619580874576,1,
SOL_USDC,SOL_USDC-0098,opt_delta,-27071.66622676311,-27071.89544520936,1,
SOL_USDC,SOL_USDC-0098,opt_budget,-13816.26429132223,-13816.381274969957,1,
SOL_USDC,SOL_USDC-0099,opt_delta,-53961.37439423896,-53961.013790138706,1,
SOL_USDC,SOL_USDC-0099,opt_budget,-30747.99563300741,-30747.79015542141,1,
SOL_USDC,SOL_USDC-0100,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0100,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0101,opt_delta,-13817.300892192578,-13817.736078940685,1,
SOL_USDC,SOL_USDC-0101,opt_budget,-10247.784057811925,-10248.10681983354,1,
SOL_USDC,SOL_USDC-0102,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0102,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0103,opt_delta,-18287.4326146246,-18287.85900301961,1,
SOL_USDC,SOL_USDC-0103,opt_budget,-13388.80767093444,-13389.119843352599,1,
SOL_USDC,SOL_USDC-0104,opt_delta,-19590.723489763674,-19590.4830099065,1,
SOL_USDC,SOL_USDC-0104,opt_budget,-15671.401721502807,-15671.209352051741,1,
SOL_USDC,SOL_USDC-0105,opt_delta,32779.85723610045,32779.86013203051,1,
SOL_USDC,SOL_USDC-0105,opt_budget,14078.542662368476,14078.54390613186,1,
SOL_USDC,SOL_USDC-0106,opt_delta,-33501.62123037526,-33501.61038383556,1,
SOL_USDC,SOL_USDC-0106,opt_budget,-20199.70308595273,-20199.696546095944,1,
SOL_USDC,SOL_USDC-0107,opt_delta,-38589.944509695204,-38590.01059954568,1,
SOL_USDC,SOL_USDC-0107,opt_budget,-23147.76254859067,-23147.802191892024,1,
SOL_USDC,SOL_USDC-0108,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0108,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0109,opt_delta,-40155.398026780196,-40155.66672130625,1,
SOL_USDC,SOL_USDC-0109,opt_budget,-33600.32058777624,-33600.54541985872,1,
SOL_USDC,SOL_USDC-0110,opt_delta,355624.1883863964,355624.5849888119,2,
SOL_USDC,SOL_USDC-0110,opt_budget,267100.8233012234,267101.11905756214,2,
SOL_USDC,SOL_USDC-0111,opt_delta,-11914.986363161399,-11914.924225749271,1,
SOL_USDC,SOL_USDC-0111,opt_budget,-6429.4541463600035,-6429.4206163474055,1,
SOL_USDC,SOL_USDC-0112,opt_delta,-44201.32065558646,-44201.29140710354,1,
SOL_USDC,SOL_USDC-0112,opt_budget,-22072.64290658051,-22072.628300861536,1,
SOL_USDC,SOL_USDC-0113,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0113,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0114,opt_delta,4131.789565721733,4131.528365620296,1,
SOL_USDC,SOL_USDC-0114,opt_budget,2050.4438319920578,2050.3142087191145,1,
SOL_USDC,SOL_USDC-0115,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0115,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0116,opt_delta,-37999.21633055334,-37999.188551750245,1,
SOL_USDC,SOL_USDC-0116,opt_budget,-22582.172403025364,-22582.155894633896,1,
SOL_USDC,SOL_USDC-0117,opt_delta,-49782.66158152904,-49781.741289295176,1,
SOL_USDC,SOL_USDC-0117,opt_budget,-32287.54485142564,-32286.947977433178,1,
SOL_USDC,SOL_USDC-0118,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0118,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0119,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0119,opt_budget,0.0,,0,
