date,stablecoin_mcap
2019-08-25,2475467081.0
2019-08-26,2477336460.0
2019-08-27,2473973486.0
2019-08-28,2467186992.0
2019-08-29,2472630449.0
2019-08-30,2502101641.0
2019-08-31,2511467562.0
2019-09-01,2510705599.0
2019-09-02,2509464863.0
2019-09-03,2514595784.0
2019-09-04,2540955139.0
2019-09-05,2533527300.0
2019-09-06,2573699148.0
2019-09-07,2601324872.0
2019-09-08,2603893504.0
2019-09-09,2600817246.0
2019-09-10,2596372411.0
2019-09-11,2604927130.0
2019-09-12,2603875369.0
2019-09-13,2911278010.0
2019-09-14,2917532449.0
2019-09-15,2920000940.0
2019-09-16,2919434954.0
2019-09-17,2908515981.0
2019-09-18,2895246296.0
2019-09-19,2878752569.0
2019-09-20,2877558426.0
2019-09-21,2867790725.0
2019-09-22,2867501777.0
2019-09-23,2869496457.0
2019-09-24,2875518005.0
2019-09-25,2895740486.0
2019-09-26,2928533593.0
2019-09-27,2925736459.0
2019-09-28,2937214128.0
2019-09-29,2944065164.0
2019-09-30,2949092827.0
2019-10-01,2961968568.0
2019-10-02,2986861529.0
2019-10-03,3015952498.0
2019-10-04,3047695165.0
2019-10-05,3052193752.0
2019-10-06,3052518668.0
2019-10-07,3074659130.0
2019-10-08,3079252133.0
2019-10-09,3078577267.0
2019-10-10,3082969846.0
2019-10-11,3093100020.0
2019-10-12,3108800792.0
2019-10-13,3108750721.0
2019-10-14,3111147223.0
2019-10-15,3107419491.0
2019-10-16,3110035713.0
2019-10-17,3109572740.0
2019-10-18,3127911639.0
2019-10-19,3139555506.0
2019-10-20,3148064516.0
2019-10-21,3178361515.0
2019-10-22,3184832131.0
2019-10-23,3187422946.0
2019-10-24,3277004889.0
2019-10-25,3377391920.0
2019-10-26,3322678641.0
2019-10-27,3328596049.0
2019-10-28,3326489823.0
2019-10-29,3321494318.0
2019-10-30,3646785193.0
2019-10-31,3656623069.0
2019-11-01,3625997711.0
2019-11-02,3624432294.0
2019-11-03,3638871951.0
2019-11-04,3639340876.0
2019-11-05,3627989710.0
2019-11-06,3649491291.0
2019-11-07,3635927613.0
2019-11-08,3631682455.0
2019-11-09,3618459051.0
2019-11-10,3618226228.0
2019-11-11,3617647752.0
2019-11-12,3616519417.0
2019-11-13,3610517708.0
2019-11-14,3609259705.0
2019-11-15,3599913225.0
2019-11-16,3594129579.0
2019-11-17,3597071879.0
2019-11-18,3596328282.0
2019-11-19,3590660116.0
2019-11-20,3597017502.0
2019-11-21,3593885270.0
2019-11-22,3624101848.0
2019-11-23,3645855979.0
2019-11-24,3621319569.0
2019-11-25,3627795274.0
